Настройка;MNF DN65
0;0
0,1;0
0,2;0
0,3;0
0,4;0
0,5;0
0,6;1,8
0,7;2,05
0,8;2,3
0,9;2,5
1;2,7
1,1;2,9
1,2;3,1
1,3;3,3
1,4;3,5
1,5;4,1
1,6;4,7
1,7;5,75
1,8;6,8
1,9;7,8
2;8,8
2,1;9,75
2,2;10,7
2,3;11,6
2,4;12,5
2,5;13,8
2,6;15,1
2,7;16,75
2,8;18,4
2,9;20
3;21,6
3,1;23,35
3,2;25,1
3,3;26,85
3,4;28,6
3,5;30,35
3,6;32,1
3,7;33,85
3,8;35,6
3,9;37,35
4;39,1
4,1;40
4,2;40,9
4,3;41,85
4,4;42,8
4,5;43,85
4,6;44,9
4,7;46,15
4,8;47,4
4,9;48,6
5;49,8
5,1;50,65
5,2;51,5
5,3;52,3
5,4;53,1
5,5;54
5,6;54,9
5,7;55,8
5,8;56,7
5,9;57,65
6;58,6
6,1;59,5
6,2;60,4
6,3;61,3
6,4;62,2
6,5;63,3
6,6;64,4
6,8;66,9
7;69,3
7,2;71,8
7,4;74,2
7,6;76,2
7,8;77,6
8;79,1
8,2;80,9
8,4;82,7
8,6;84,5
8,8;86,1
9;87,8
9,2;90
9,4;92,3
