Setting;KV
0;0,33
0,1;0,44
0,2;0,53
0,3;0,61
0,4;0,68
0,5;0,74
0,6;0,79
0,7;0,85
0,8;0,91
0,9;0,96
1;1,03
1,1;1,09
1,2;1,16
1,3;1,24
1,4;1,32
1,5;1,41
1,6;1,5
1,7;1,6
1,8;1,7
1,9;1,8
2;1,91
2,1;2,03
2,2;2,15
2,3;2,26
2,4;2,39
2,5;2,51
2,6;2,64
2,7;2,76
2,8;2,89
2,9;3,02
3;3,15
3,1;3,28
3,2;3,41
3,3;3,54
3,4;3,68
3,5;3,81
3,6;3,95
3,7;4,09
3,8;4,24
3,9;4,39
4;4,55
4,1;4,71
4,2;4,88
4,3;5,05
4,4;5,23
4,5;5,42
4,6;5,62
4,7;5,83
4,8;6,05
4,9;6,27
5;6,51
5,1;6,75
5,2;7
5,3;7,26
5,4;7,53
5,5;7,8
5,6;8,06
5,7;8,33
5,8;8,59
5,9;8,84
6;9,08
6,1;9,3
6,2;9,5
