G;3 пост давл;2 пост давл;1 пост давл
10,2;1,12;1,12;1,12
10,1;1,22;1,22;1,22
10;1,31;1,31;1,31
9,9;1,41;1,41;1,41
9,8;1,51;1,51;1,51
9,7;1,6;1,6;1,6
9,6;1,7;1,7;1,7
9,5;1,8;1,8;1,8
9,4;1,89;1,89;1,89
9,3;1,99;1,99;1,99
9,2;2,09;2,09;2,09
9,1;2,19;2,19;2,19
9;2,28;2,28;2,28
8,9;2,38;2,38;2,38
8,8;2,48;2,48;2,48
8,7;2,57;2,57;2,57
8,6;2,67;2,67;2,67
8,5;2,75;2,75;2,75
8,4;2,86;2,86;2,75
8,3;2,96;2,96;2,75
8,2;3,06;3,06;2,75
8,1;3,15;3,15;2,75
8;3,25;3,25;2,75
7,9;3,35;3,35;2,75
7,8;3,44;3,44;2,75
7,7;3,54;3,54;2,75
7,6;3,64;3,64;2,75
7,5;3,73;3,73;2,75
7,4;3,83;3,83;2,75
7,3;3,93;3,93;2,75
7,2;4,02;4,02;2,75
7,1;4,12;4,12;2,75
7;4,22;4,22;2,75
6,9;4,31;4,31;2,75
6,8;4,41;4,41;2,75
6,7;4,51;4,51;2,75
6,6;4,6;4,5;2,75
6,5;4,7;4,5;2,75
6,4;4,8;4,5;2,75
6,3;4,9;4,5;2,75
6,2;4,99;4,5;2,75
6,1;5,09;4,5;2,75
6;5,19;4,5;2,75
5,9;5,28;4,5;2,75
5,8;5,38;4,5;2,75
5,7;5,48;4,5;2,75
5,6;5,57;4,5;2,75
5,5;5,67;4,5;2,75
5,4;5,77;4,5;2,75
5,3;5,86;4,5;2,75
5,2;5,96;4,5;2,75
5,1;6,06;4,5;2,75
5;6,15;4,5;2,75
4,9;6,25;4,5;2,75
4,8;6,25;4,5;2,75
4,7;6,25;4,5;2,75
4,6;6,25;4,5;2,75
4,5;6,25;4,5;2,75
4,4;6,25;4,5;2,75
4,3;6,25;4,5;2,75
4,2;6,25;4,5;2,75
4,1;6,25;4,5;2,75
4;6,25;4,5;2,75
3,9;6,25;4,5;2,75
3,8;6,25;4,5;2,75
3,7;6,25;4,5;2,75
3,6;6,25;4,5;2,75
3,5;6,25;4,5;2,75
3,4;6,25;4,5;2,75
3,3;6,25;4,5;2,75
3,2;6,25;4,5;2,75
3,1;6,25;4,5;2,75
3;6,25;4,5;2,75
2,9;6,25;4,5;2,75
2,8;6,25;4,5;2,75
2,7;6,25;4,5;2,75
2,6;6,25;4,5;2,75
2,5;6,25;4,5;2,75
2,4;6,25;4,5;2,75
2,3;6,25;4,5;2,75
2,2;6,25;4,5;2,75
2,1;6,25;4,5;2,75
2;6,25;4,5;2,75
1,9;6,25;4,5;2,75
1,8;6,25;4,5;2,75
1,7;6,25;4,5;2,75
1,6;6,25;4,5;2,75
1,5;6,25;4,5;2,75
1,4;6,25;4,5;2,75
1,3;6,25;4,5;2,75
1,2;6,25;4,5;2,75
1,1;6,25;4,5;2,75
1;6,25;4,5;2,75
0,9;6,25;4,5;2,75
0,8;6,25;4,5;2,75
0,7;6,25;4,5;2,75
0,6;6,25;4,5;2,75
0,5;6,25;4,5;2,75
0,4;6,25;4,5;2,75
0,3;6,25;4,5;2,75
0,2;6,25;4,5;2,75
0,1;6,25;4,5;2,75
0;6,25;4,5;2,75
