G;3 пост давл;2 пост давл;1 пост давл
19;1,75;1,75;1,75
18,9;1,79;1,79;1,79
18,8;1,84;1,84;1,84
18,7;1,88;1,88;1,88
18,6;1,92;1,92;1,92
18,5;1,97;1,97;1,97
18,4;2,01;2,01;2,01
18,3;2,05;2,05;2,05
18,2;2,09;2,09;2,09
18,1;2,14;2,14;2,14
18;2,18;2,18;2,18
17,9;2,22;2,22;2,22
17,8;2,27;2,27;2,27
17,7;2,31;2,31;2,31
17,6;2,35;2,35;2,35
17,5;2,39;2,39;2,39
17,4;2,44;2,44;2,44
17,3;2,48;2,48;2,48
17,2;2,52;2,52;2,52
17,1;2,57;2,57;2,57
17;2,61;2,61;2,61
16,9;2,65;2,65;2,65
16,8;2,7;2,7;2,7
16,7;2,75;2,75;2,75
16,6;2,78;2,78;2,75
16,5;2,82;2,82;2,75
16,4;2,87;2,87;2,75
16,3;2,91;2,91;2,75
16,2;2,95;2,95;2,75
16,1;3;3;2,75
16;3,04;3,04;2,75
15,9;3,08;3,08;2,75
15,8;3,13;3,13;2,75
15,7;3,17;3,17;2,75
15,6;3,21;3,21;2,75
15,5;3,25;3,25;2,75
15,4;3,3;3,3;2,75
15,3;3,34;3,34;2,75
15,2;3,38;3,38;2,75
15,1;3,43;3,43;2,75
15;3,47;3,47;2,75
14,9;3,51;3,51;2,75
14,8;3,56;3,56;2,75
14,7;3,6;3,6;2,75
14,6;3,64;3,64;2,75
14,5;3,68;3,68;2,75
14,4;3,73;3,73;2,75
14,3;3,77;3,77;2,75
14,2;3,81;3,81;2,75
14,1;3,86;3,86;2,75
14;3,9;3,9;2,75
13,9;3,94;3,94;2,75
13,8;3,99;3,99;2,75
13,7;4,03;4,03;2,75
13,6;4,07;4,07;2,75
13,5;4,11;4,11;2,75
13,4;4,16;4,16;2,75
13,3;4,2;4,2;2,75
13,2;4,24;4,24;2,75
13,1;4,29;4,29;2,75
13;4,33;4,33;2,75
12,9;4,37;4,37;2,75
12,8;4,41;4,41;2,75
12,7;4,46;4,46;2,75
12,6;4,49;4,49;2,75
12,5;4,54;4,49;2,75
12,4;4,59;4,49;2,75
12,3;4,63;4,49;2,75
12,2;4,67;4,49;2,75
12,1;4,72;4,49;2,75
12;4,76;4,49;2,75
11,9;4,8;4,49;2,75
11,8;4,84;4,49;2,75
11,7;4,89;4,49;2,75
11,6;4,93;4,49;2,75
11,5;4,97;4,49;2,75
11,4;5,02;4,49;2,75
11,3;5,06;4,49;2,75
11,2;5,1;4,49;2,75
11,1;5,15;4,49;2,75
11;5,19;4,49;2,75
10,9;5,23;4,49;2,75
10,8;5,27;4,49;2,75
10,7;5,32;4,49;2,75
10,6;5,36;4,49;2,75
10,5;5,4;4,49;2,75
10,4;5,45;4,49;2,75
10,3;5,49;4,49;2,75
10,2;5,53;4,49;2,75
10,1;5,58;4,49;2,75
10;5,62;4,49;2,75
9,9;5,66;4,49;2,75
9,8;5,7;4,49;2,75
9,7;5,75;4,49;2,75
9,6;5,79;4,49;2,75
9,5;5,83;4,49;2,75
9,4;5,88;4,49;2,75
9,3;5,92;4,49;2,75
9,2;5,96;4,49;2,75
9,1;6,01;4,49;2,75
9;6,05;4,49;2,75
8,9;6,09;4,49;2,75
8,8;6,13;4,49;2,75
8,7;6,18;4,49;2,75
8,6;6,22;4,49;2,75
8,5;6,22;4,49;2,75
8,4;6,22;4,49;2,75
8,3;6,22;4,49;2,75
8,2;6,22;4,49;2,75
8,1;6,22;4,49;2,75
8;6,22;4,49;2,75
7,9;6,22;4,49;2,75
7,8;6,22;4,49;2,75
7,7;6,22;4,49;2,75
7,6;6,22;4,49;2,75
7,5;6,22;4,49;2,75
7,4;6,22;4,49;2,75
7,3;6,22;4,49;2,75
7,2;6,22;4,49;2,75
7,1;6,22;4,49;2,75
7;6,22;4,49;2,75
6,9;6,22;4,49;2,75
6,8;6,22;4,49;2,75
6,7;6,22;4,49;2,75
6,6;6,22;4,49;2,75
6,5;6,22;4,49;2,75
6,4;6,22;4,49;2,75
