G,Set3,Set2,Set1;;;;
0,38500,35750,28620;;;;
100,37610,34560,26650;;;;10
200,36660,33220,24750;;;;
300,35690,31970,22980;;;;
400,34670,30610,21230;;;;
500,33620,29280,19600;;;;
600,32560,27850,17930;;;;
700,31490,26540,16480;;;;
800,30360,25200,15010;;;;
900,29250,23800,13600;;;;
1000,28030,22410,12320;;;;
1100,26960,21060,11040;;;;
1200,25760,19770,9920;;;;
1300,24630,18430,8770;;;;
1400,23460,17160,0;;;;
1500,22330,15960,0;;;;
1600,21140,14740,0;;;;
1700,20060,13620,0;;;;
1800,18910,12580,0;;;;
1900,17800,11440,0;;;;
2000,16690,10510,0;;;;
2100,15660,9590,0;;;;
2200,14650,8740,0;;;;
2300,13700,8070,0;;;;
2400,12650,7350,0;;;;
2500,11690,6810,0;;;;
2600,10880,0,0;;;;
2700,10030,0,0;;;;
2800,9190,0,0;;;;
2900,8500,0,0;;;;
