G,Set3,Set2,Set1;;;;;
0,62500,45000,27500;;;;;
100,62500,45000,27500;;;;;
200,62500,45000,27500;;;;;
300,62500,45000,27500;;;;;
400,62500,45000,27500;;;;;
500,62500,45000,27500;;;;;
600,62500,45000,27500;;;;;
700,62500,45000,27500;;;;;
800,62500,45000,27500;;;;;
900,62500,45000,27500;;;;;
1000,62500,45000,27500;;;;;
1100,62500,45000,27500;;;;;
1200,62500,45000,27500;;;;;
1300,62500,45000,27500;;;;;
1400,62500,45000,27500;;;;;
1500,62500,45000,27500;;;;;
1600,62500,45000,27500;;;;;
1700,62500,45000,27500;;;;;
1800,62500,45000,27500;;;;;
1900,62500,45000,27500;;;;;
2000,62500,45000,27500;;;;;
2100,62500,45000,27500;;;;;
2200,62500,45000,27500;;;;;
2300,62500,45000,27500;;;;;
2400,62500,45000,27500;;;;;
2500,62500,45000,27500;;;;;
2600,62500,45000,27500;;;;;
2700,62500,45000,27500;;;;;
2800,62500,45000,27500;;;;;
2900,62500,45000,27500;;;;;
3000,62500,45000,27500;;;;;
3100,62500,45000,27500;;;;;
3200,62500,45000,27500;;;;;
3300,62500,45000,27500;;;;;
3400,62500,45000,27500;;;;;
3500,62500,45000,27500;;;;;
3600,62500,45000,27500;;;;;
3700,62500,45000,27500;;;;;
3800,62500,45000,27500;;;;;
3900,62500,45000,27500;;;;;
4000,62500,45000,27500;;;;;
4100,62500,45000,27500;;;;;
4200,62500,45000,27500;;;;;
4300,62500,45000,27500;;;;;
4400,62500,45000,27500;;;;;
4500,62500,45000,27500;;;;;
4600,62500,45000,27500;;;;;
4700,62500,45000,27500;;;;;
4800,62500,45000,27500;;;;;
4900,62500,45000,27500;;;;;
5000,61500,45000,27500;;;;;
5100,60600,45000,27500;;;;;
5200,59600,45000,27500;;;;;
5300,58600,45000,27500;;;;;
5400,57700,45000,27500;;;;;
5500,56700,45000,27500;;;;;
5600,55700,45000,27500;;;;;
5700,54800,45000,27500;;;;;
5800,53800,45000,27500;;;;;
5900,52800,45000,27500;;;;;
6000,51900,45000,27500;;;;;
6100,50900,45000,27500;;;;;
6200,49900,45000,27500;;;;;
6300,49000,45000,27500;;;;;
6400,48000,45000,27500;;;;;
6500,47000,45000,27500;;;;;
6600,46000,45000,27500;;;;;
6700,45100,45100,27500;;;;;
6800,44100,44100,27500;6880;;79,44339704;;0,025
6900,43100,43100,27500;;;;;43,5129406
7000,42200,42200,27500;;;;;
7100,41200,41200,27500;;;;;
7200,40200,40200,27500;;;;;
7300,39300,39300,27500;;;;;
7400,38300,38300,27500;;;;;
7500,37300,37300,27500;;;;;
7600,36400,36400,27500;;;;;
7700,35400,35400,27500;;;;;
7800,34400,34400,27500;;;;;
7900,33500,33500,27500;;;;;
8000,32500,32500,27500;;;;;
8100,31500,31500,27500;;;;;
8200,30600,30600,27500;;;;;
8300,29600,29600,27500;;;;;
8400,28600,28600,27500;;;;;
8500,27500,27500,27500;;;;;
8600,26700,26700,26700;;;;;
8700,25700,25700,25700;;;;;
8800,24800,24800,24800;;;;;
8900,23800,23800,23800;;;;;
9000,22800,22800,22800;;;;;
9100,21900,21900,21900;;;;;
9200,20900,20900,20900;;;;;
9300,19900,19900,19900;;;;;
9400,18900,18900,18900;;;;;
9500,18000,18000,18000;;;;;
9600,17000,17000,17000;;;;;
9700,16000,16000,16000;;;;;
9800,15100,15100,15100;;;;;
9900,14100,14100,14100;;;;;
10000,13100,13100,13100;;;;;
10100,12200,12200,12200;;;;;
10200,11200,11200,11200;;;;;
