G,Set3,Set2,Set1
0,62200,44900,27500
100,62200,44900,27500
200,62200,44900,27500
300,62200,44900,27500
400,62200,44900,27500
500,62200,44900,27500
600,62200,44900,27500
700,62200,44900,27500
800,62200,44900,27500
900,62200,44900,27500
1000,62200,44900,27500
1100,62200,44900,27500
1200,62200,44900,27500
1300,62200,44900,27500
1400,62200,44900,27500
1500,62200,44900,27500
1600,62200,44900,27500
1700,62200,44900,27500
1800,62200,44900,27500
1900,62200,44900,27500
2000,62200,44900,27500
2100,62200,44900,27500
2200,62200,44900,27500
2300,62200,44900,27500
2400,62200,44900,27500
2500,62200,44900,27500
2600,62200,44900,27500
2700,62200,44900,27500
2800,62200,44900,27500
2900,62200,44900,27500
3000,62200,44900,27500
3100,62200,44900,27500
3200,62200,44900,27500
3300,62200,44900,27500
3400,62200,44900,27500
3500,62200,44900,27500
3600,62200,44900,27500
3700,62200,44900,27500
3800,62200,44900,27500
3900,62200,44900,27500
4000,62200,44900,27500
4100,62200,44900,27500
4200,62200,44900,27500
4300,62200,44900,27500
4400,62200,44900,27500
4500,62200,44900,27500
4600,62200,44900,27500
4700,62200,44900,27500
4800,62200,44900,27500
4900,62200,44900,27500
5000,62200,44900,27500
5100,62200,44900,27500
5200,62200,44900,27500
5300,62200,44900,27500
5400,62200,44900,27500
5500,62200,44900,27500
5600,62200,44900,27500
5700,62200,44900,27500
5800,62200,44900,27500
5900,62200,44900,27500
6000,62200,44900,27500
6100,62200,44900,27500
6200,62200,44900,27500
6300,62200,44900,27500
6400,62200,44900,27500
6500,62200,44900,27500
6600,62200,44900,27500
6700,62200,44900,27500
6800,62200,44900,27500
6900,62200,44900,27500
7000,62200,44900,27500
7100,62200,44900,27500
7200,62200,44900,27500
7300,62200,44900,27500
7400,62200,44900,27500
7500,62200,44900,27500
7600,62200,44900,27500
7700,62200,44900,27500
7800,62200,44900,27500
7900,62200,44900,27500
8000,62200,44900,27500
8100,62200,44900,27500
8200,62200,44900,27500
8300,62200,44900,27500
8400,62200,44900,27500
8500,62200,44900,27500
8600,62200,44900,27500
8700,61800,44900,27500
8800,61300,44900,27500
8900,60900,44900,27500
9000,60500,44900,27500
9100,60100,44900,27500
9200,59600,44900,27500
9300,59200,44900,27500
9400,58800,44900,27500
9500,58300,44900,27500
9600,57900,44900,27500
9700,57500,44900,27500
9800,57000,44900,27500
9900,56600,44900,27500
10000,56200,44900,27500
10100,55800,44900,27500
10200,55300,44900,27500
10300,54900,44900,27500
10400,54500,44900,27500
10500,54000,44900,27500
10600,53600,44900,27500
10700,53200,44900,27500
10800,52700,44900,27500
10900,52300,44900,27500
11000,51900,44900,27500
11100,51500,44900,27500
11200,51000,44900,27500
11300,50600,44900,27500
11400,50200,44900,27500
11500,49700,44900,27500
11600,49300,44900,27500
11700,48900,44900,27500
11800,48400,44900,27500
11900,48000,44900,27500
12000,47600,44900,27500
12100,47200,44900,27500
12200,46700,44900,27500
12300,46300,44900,27500
12400,45900,44900,27500
12500,45400,44900,27500
12600,44900,44900,27500
12700,44600,44600,27500
12800,44100,44100,27500
12900,43700,43700,27500
13000,43300,43300,27500
13100,42900,42900,27500
13200,42400,42400,27500
13300,42000,42000,27500
13400,41600,41600,27500
13500,41100,41100,27500
13600,40700,40700,27500
13700,40300,40300,27500
13800,39900,39900,27500
13900,39400,39400,27500
14000,39000,39000,27500
14100,38600,38600,27500
14200,38100,38100,27500
14300,37700,37700,27500
14400,37300,37300,27500
14500,36800,36800,27500
14600,36400,36400,27500
14700,36000,36000,27500
14800,35600,35600,27500
14900,35100,35100,27500
15000,34700,34700,27500
15100,34300,34300,27500
15200,33800,33800,27500
15300,33400,33400,27500
15400,33000,33000,27500
15500,32500,32500,27500
15600,32100,32100,27500
15700,31700,31700,27500
15800,31300,31300,27500
15900,30800,30800,27500
16000,30400,30400,27500
16100,30000,30000,27500
16200,29500,29500,27500
16300,29100,29100,27500
16400,28700,28700,27500
16500,28200,28200,27500
16600,27800,27800,27500
16700,27500,27500,27500
16800,27000,27000,27000
16900,26500,26500,26500
17000,26100,26100,26100
17100,25700,25700,25700
17200,25200,25200,25200
17300,24800,24800,24800
17400,24400,24400,24400
17500,23900,23900,23900
17600,23500,23500,23500
17700,23100,23100,23100
17800,22700,22700,22700
17900,22200,22200,22200
18000,21800,21800,21800
18100,21400,21400,21400
18200,20900,20900,20900
18300,20500,20500,20500
18400,20100,20100,20100
18500,19700,19700,19700
18600,19200,19200,19200
18700,18800,18800,18800
18800,18400,18400,18400
18900,17900,17900,17900
19000,17500,17500,17500
