G,Set3, Set2,Set1
0,45000,30000,15000
100,45000,30000,15000
200,45000,30000,15000
300,45000,30000,15000
400,45000,30000,15000
500,45000,30000,15000
600,45000,30000,15000
700,45000,30000,15000
800,45000,30000,15000
900,45000,30000,15000
1000,45000,30000,15000
1100,45000,30000,15000
1200,45000,30000,15000
1300,45000,30000,15000
1400,45000,30000,15000
1500,45000,30000,15000
1600,45000,30000,15000
1700,45000,30000,15000
1800,45000,30000,15000
1900,45000,30000,15000
2000,45000,30000,15000
2100,43080,30000,15000
2200,41300,30000,15000
2300,39370,30000,15000
2400,37690,30000,15000
2500,35830,30000,15000
2600,33970,30000,15000
2700,32190,30000,15000
2800,30000,30000,15000
2900,28600,28600,15000
3000,27000,27000,15000
3100,24820,24820,15000
3200,22920,22920,15000
3300,21330,21330,15000
3400,19820,19820,15000
3500,18140,18140,15000
