G,Set3,Set2,Set1
0,71000,69000,62000
100,70480,68400,59800
200,69930,67740,58600
300,69400,67060,57200
400,68820,66260,54930
500,68180,65380,51530
600,67520,64400,47300
700,66850,63240,42050
800,66070,61930,36500
900,65320,60460,30870
1000,64460,58750,25370
1100,63620,56880,0
1200,62700,54760,0
1300,61690,52500,0
1400,60670,49830,0
1500,59680,47180,0
1600,58480,44180,0
1700,57300,41330,0
1800,56080,38120,0
1900,54840,34590,0
2000,53520,31170,0
2100,52180,28500,0
2200,50720,24610,0
2300,49110,0,0
2400,47600,0,0
2500,45970,0,0
2600,44430,0,0
2700,42610,0,0
2800,40880,0,0
2900,39060,0,0
3000,37270,0,0
3100,35170,0,0
3200,33080,0,0
3300,31070,0,0
3400,28830,0,0
3500,26790,0,0
3600,24520,0,0
3700,22280,0,0
3800,19890,0,0
3900,17340,0,0
4000,15040,0,0
4100,12370,0,0
4200,9750,0,0
4300,7400,0,0
