Setting,KV
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,1800
0.7,2050
0.8,2300
0.9,2500
1,2700
1.1,2900
1.2,3100
1.3,3300
1.4,3500
1.5,4100
1.6,4700
1.7,5750
1.8,6800
1.9,7800
2,8800
2.1,9750
2.2,10700
2.3,11600
2.4,12500
2.5,13800
2.6,15100
2.7,16750
2.8,18400
2.9,20000
3,21600
3.1,23350
3.2,25100
3.3,26850
3.4,28600
3.5,30350
3.6,32100
3.7,33850
3.8,35600
3.9,37350
4,39100
4.1,40000
4.2,40900
4.3,41850
4.4,42800
4.5,43850
4.6,44900
4.7,46150
4.8,47400
4.9,48600
5,49800
5.1,50650
5.2,51500
5.3,52300
5.4,53100
5.5,54000
5.6,54900
5.7,55800
5.8,56700
5.9,57650
6,58600
6.1,59500
6.2,60400
6.3,61300
6.4,62200
6.5,63300
6.6,64400
6.8,66900
7,69300
7.2,71800
7.4,74200
7.6,76200
7.8,77600
8,79100
8.2,80900
8.4,82700
8.6,84500
8.8,86100
9,87800
9.2,90000
9.4,92300
