Setting,KV
0,330
0.1,440
0.2,530
0.3,610
0.4,680
0.5,740
0.6,790
0.7,850
0.8,910
0.9,960
1,1030
1.1,1090
1.2,1160
1.3,1240
1.4,1320
1.5,1410
1.6,1500
1.7,1600
1.8,1700
1.9,1800
2,1910
2.1,2030
2.2,2150
2.3,2260
2.4,2390
2.5,2510
2.6,2640
2.7,2760
2.8,2890
2.9,3020
3,3150
3.1,3280
3.2,3410
3.3,3540
3.4,3680
3.5,3810
3.6,3950
3.7,4090
3.8,4240
3.9,4390
4,4550
4.1,4710
4.2,4880
4.3,5050
4.4,5230
4.5,5420
4.6,5620
4.7,5830
4.8,6050
4.9,6270
5,6510
5.1,6750
5.2,7000
5.3,7260
5.4,7530
5.5,7800
5.6,8060
5.7,8330
5.8,8590
5.9,8840
6,9080
6.1,9300
6.2,9500
